TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-41.5496,43,0,1,232,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.5723,38,0,1,233,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.5948,40,0,1,234,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.6123,40,0,1,235,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.6638,43,0,1,236,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.6822,34,0,1,237,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.7022,37,0,1,238,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.7245,39,0,1,239,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.7645,40,0,1,240,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.8164,35,0,1,241,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.8342,30,0,1,242,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.8583,33,0,1,243,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.9026,35,0,1,244,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.9244,31,0,1,245,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
