TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,54,4,10740,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.084"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"107.06"|"faces":[]}
2026-12-2--13-34-20,0,55,5,10940,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.159"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.807"|"faces":[]}
2026-12-2--13-34-20,0,56,5,11142,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.722"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"95.574"|"faces":[]}
2026-12-2--13-34-20,0,57,5,11342,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.563"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.049"|"faces":[]}
2026-12-2--13-34-20,0,58,5,11541,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.818"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.777"|"faces":[]}
2026-12-2--13-34-20,0,59,5,11741,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.658"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"109.558"|"faces":[]}
2026-12-2--13-34-20,0,60,6,11939,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.619"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.425"|"faces":[]}
2026-12-2--13-34-20,0,61,6,12137,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.881"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.328"|"faces":[]}
2026-12-2--13-34-20,0,62,6,12339,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.726"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"97.337"|"faces":[]}
2026-12-2--13-34-20,0,63,6,12539,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.416"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.461"|"faces":[]}
2026-12-2--13-34-20,0,64,6,12737,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.352"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.873"|"faces":[]}
2026-12-2--13-34-20,0,65,6,12936,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.253"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"113.23"|"faces":[]}
2026-12-2--13-34-20,0,66,6,13138,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.584"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"98.433"|"faces":[]}
2026-12-2--13-34-20,0,67,6,13338,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.241"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.022"|"faces":[]}
2026-12-2--13-34-20,0,68,6,13541,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.34"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.008"|"ms_total":"108.393"|"faces":[]}
